Orthogroup	Xanthoria_calcicola_GTX0491	Xanthoria_parietina_SAMEA111342678
OG0000145	XANCAGTX0491_001146-T1	XANPAOZ2100_000215-T1
OG0000146	XANCAGTX0491_007838-T1	XANPAOZ2100_006699-T1
OG0000146	XANCAGTX0491_001250-T1	XANPAOZ2100_000120-T1
OG0000147	XANCAGTX0491_001272-T1	XANPAOZ2100_000104-T1
OG0000147	XANCAGTX0491_008669-T1	XANPAOZ2100_005470-T1
OG0000148	XANCAGTX0491_001357-T1	XANPAOZ2100_000027-T1
OG0000148	XANCAGTX0491_009200-T1	XANPAOZ2100_007721-T1
OG0000149	XANCAGTX0491_007933-T1	XANPAOZ2100_007567-T1
OG0000149	XANCAGTX0491_001361-T1	XANPAOZ2100_000022-T1
OG0000150	XANCAGTX0491_001586-T1, XANCAGTX0491_001585-T1, XANCAGTX0491_001587-T1	XANPAOZ2100_004467-T1
OG0000151	XANCAGTX0491_001647-T1	XANPAOZ2100_008361-T1, XANPAOZ2100_004410-T1
OG0000152	XANCAGTX0491_009553-T1, XANCAGTX0491_001706-T1, XANCAGTX0491_009552-T1	XANPAOZ2100_008962-T1
OG0000153	XANCAGTX0491_001839-T2, XANCAGTX0491_001839-T1	XANPAOZ2100_004234-T1
OG0000154	XANCAGTX0491_001928-T1, XANCAGTX0491_001928-T2	XANPAOZ2100_004152-T1
OG0000155	XANCAGTX0491_001971-T1	XANPAOZ2100_004112-T1
OG0000155	XANCAGTX0491_009876-T1	XANPAOZ2100_008611-T1
OG0000156	XANCAGTX0491_002066-T1	XANPAOZ2100_004020-T1
OG0000156	XANCAGTX0491_006009-T1	XANPAOZ2100_004719-T1
OG0000157	XANCAGTX0491_003846-T1, XANCAGTX0491_002075-T1, XANCAGTX0491_006664-T1	XANPAOZ2100_002348-T1
OG0000158	XANCAGTX0491_005533-T1	XANPAOZ2100_005158-T1
OG0000158	XANCAGTX0491_002112-T1	XANPAOZ2100_008382-T1
OG0000159	XANCAGTX0491_002427-T1	XANPAOZ2100_008105-T1
OG0000160	XANCAGTX0491_002580-T1, XANCAGTX0491_002580-T2	XANPAOZ2100_001329-T1
OG0000161	XANCAGTX0491_002784-T1	XANPAOZ2100_001525-T1
OG0000161	XANCAGTX0491_008776-T1	XANPAOZ2100_005572-T1
OG0000162	XANCAGTX0491_002814-T1	XANPAOZ2100_007167-T1, XANPAOZ2100_005620-T1, XANPAOZ2100_007160-T1, XANPAOZ2100_001549-T1
OG0000163	XANCAGTX0491_003145-T1	XANPAOZ2100_001844-T1
OG0000164	XANCAGTX0491_006816-T1	XANPAOZ2100_006678-T1
OG0000164	XANCAGTX0491_003013-T1	XANPAOZ2100_001725-T1
OG0000165	XANCAGTX0491_003173-T1	XANPAOZ2100_001869-T1
OG0000165	XANCAGTX0491_006699-T1	XANPAOZ2100_002834-T1
OG0000166	XANCAGTX0491_003177-T1	XANPAOZ2100_001873-T1
OG0000166	XANCAGTX0491_008705-T1	XANPAOZ2100_005505-T1
OG0000167	XANCAGTX0491_003313-T1	XANPAOZ2100_002004-T1
OG0000168	XANCAGTX0491_003316-T1	XANPAOZ2100_002008-T1
OG0000169	XANCAGTX0491_003329-T1	XANPAOZ2100_002023-T1
OG0000170	XANCAGTX0491_008881-T1	XANPAOZ2100_008020-T1
OG0000171	XANCAGTX0491_003365-T1, XANCAGTX0491_003366-T1	XANPAOZ2100_002051-T1
